avalska,,Čukarica,beograd,bg-Železnik,
avalska,,Čukarica,ruŠanj,ruŠanj,
avalska,,grocka,brestovik,brestovik,2018/119
avalska,,grocka,grocka,grocka,
avalska,,grocka,kaluĐerica,kaludjerica,
avalska,,grocka,leŠtane,leŠtane,
avalska,,grocka,ritopek,ritopek,
avalska,,grocka,vrČin,vrČin,
avalska,,grocka,zaklopaČa,zaklopaČa,
avalska,,lazarevac,lazarevac,lazarevac,
avalska,,mladenovac,mladenovac (varoŠ),mladenovac (varoŠ),
avalska,,obrenovac,obrenovac,obrenovac,
avalska,,sopot,mala ivanČa,mala ivanČa,
avalska,,sopot,nemenikuĆe,nemenikuĆe,
avalska,,sopot,ralja,ralja,
avalska,,sopot,sopot,sopot,
avalska,,surČin,jakovo,jakovo,
avalska,,voŽdovac,beli potok,beli potok,
avalska,,voŽdovac,ripanj,ripanj,
avalski drum,,grocka,vrČin,vrČin,
avalski lad,,grocka,vrČin,vrČin,2018/119
avalski put,,voŽdovac,pinosava,pinosava,
avalski venac,,grocka,vrČin,vrČin,
avalskog venca,,voŽdovac,beograd,bg-jajinci,2018/119
avde karabegoviĆa,,vraČar,beograd,beograd,
avijatiČara,,palilula,beograd,bg-krnjaČa,2019/013
avijaticarski put,,novi beograd,beograd,bg-n beograd,
avijatiČarski trg,trg jna,zemun,beograd,bg-zemun,2000/003
avnojska,,grocka,kaluĐerica,kaludjerica,
avrama leviĆa,,obrenovac,jasenak,jasenak,
avrama leviĆa,,rakovica,beograd,beograd,
avrama petronijeviĆa,,mladenovac,koraĆica,koraĆica,
avrama petronijeviĆa,,zvezdara,beograd,bg-m m lug,
avrama vinavera,,palilula,beograd,bg-krnjaČa,2019/013
azanjska,,palilula,beograd,bg-krnjaČa,
baba-katina,,barajevo,lisoviĆ,lisoviĆ,
baba-viŠnjina ulica,,mladenovac,mladenovac (varoŠ),mladenovac (varoŠ),
baba-viŠnjina,,lazarevac,mirosaljci,mirosaljci,
baba-viŠnjina,,obrenovac,jasenak,jasenak,
baba-viŠnjina,,vraČar,beograd,beograd,
babe miljuŠa,,surČin,surČin,surČin,
babin lug,,grocka,vinČa,vinČa,
babin potok,,grocka,ritopek,ritopek,
babina reka,,lazarevac,trbuŠnica,trbuŠnica,
babljaČka,beogradska 4 deo 13 prilaz,Čukarica,sremČica,sremČica,2005/008
babljanica,,sopot,parcani,parcani,
baĆe gogiĆa,,surČin,surČin,surČin,
baĆevaČka ulica,,barajevo,baĆevac,baĆevac,2019/067
baČevaČki vis,,obrenovac,misloĐin,misloĐin,
baČeviČka,,obrenovac,misloĐin,mislodjin,
baČka,kaČarevaČka,zemun,beograd,bg-zemun,2022/020
baČki ilovik,,zemun,beograd,bg-zemun,
baČvanska,,obrenovac,veliko polje,veliko polje,
baČvanska,,voŽdovac,beograd,beograd,
baČvarska,,novi beograd,beograd,bg-n beograd,
badema,,palilula,beograd,beograd,
badema,,palilula,beograd,bg-viŠnjica,2019/013
bademova,,barajevo,barajevo,barajevo,2019/067
bademova,,lazarevac,brajkovac,brajkovac,
bademova,,sopot,ralja,ralja,
badljevaČka,,mladenovac,dubona,dubona,
badovaČka,beogradska 4 deo 12 prilaz,Čukarica,sremČica,sremČica,2005/008
badrikovac,,grocka,brestovik,brestovik,
bagrdanska,,barajevo,barajevo,barajevo,
bagrema,,mladenovac,vlaŠka,vlaŠka,
bagremova ulica,,barajevo,barajevo,barajevo,2019/067
bagremova,,grocka,grocka,grocka,2018/119
bagremova,,obrenovac,brgulice,brgulice,
bagremova,,surČin,jakovo,jakovo,
bagremova,,voŽdovac,beograd,bg-kumodraŽ,
bagremova,nova 107,mladenovac,velika krsna,velika krsna,2001/015
bagremovo sokaČe,,grocka,grocka,grocka,2018/119
bagremovog cveta,,grocka,kaluĐerica,kaludjerica,
bahtijara vagabzade,,rakovica,beograd,beograd,
bahtijara vagabzade,,savski venac,beograd,beograd,
bahtijara vagabzade,,voŽdovac,beograd,bg-rakovica selo,2018/119
bajČinska,beogradska 4 deo 10 prilaz,Čukarica,sremČica,sremČica,2005/008
bajdina,,zvezdara,beograd,beograd,
bajgorska,beogradska 4 deo 11 prilaz,Čukarica,sremČica,sremČica,2005/008
bajino brdo,,lazarevac,petka,petka,
bajronova,,voŽdovac,beograd,beograd,
bakarska,,voŽdovac,beograd,beograd,
bakČine,,sopot,mali poŽarevac,mali poŽarevac,
bakČinska ulica,,sopot,nemenikuĆe,nemenikuĆe,
bakiĆeva,,voŽdovac,beograd,beograd,
balaniČka,,novi beograd,beograd,beograd,2019/066
balaŠevih,,surČin,beČmen,beČmen,
baljevac,,obrenovac,baljevac,baljevac,
baljevaČki put,,obrenovac,baljevac,baljevac,
baljevaČki put,,obrenovac,draŽevac,draŽevac,
balkanska ulica,,barajevo,arnajevo,arnajevo,2019/067
balkanska ulica,,sopot,Đurinci,Đurinci,
balkanska,,lazarevac,brajkovac,brajkovac,
balkanska,,mladenovac,meĐuluŽje,medjuluŽje,
balkanska,,obrenovac,mala moŠtanica,mala moŠtanica,
balkanska,,savski venac,beograd,beograd,
balkanska,,stari grad,beograd,beograd,
balkanska,,surČin,jakovo,jakovo,
balkanska,marŠala tita 1 prilaz,grocka,kaluĐerica,kaludjerica,
balovaČka,beogradska 4 deo 9 prilaz,Čukarica,sremČica,sremČica,2005/008
balŠe ĐuriĆa,,barajevo,veliki borak,veliki borak,2019/067
baltiČka,,novi beograd,beograd,bg-n beograd,
balzakova,,lazarevac,vrbovno,vrbovno,
balzakova,,palilula,beograd,bg-viŠnjica,2019/013
bana ivaniŠa,,zvezdara,beograd,beograd,
banatska ulica,,mladenovac,vlaŠka,vlaŠka,
banatska,,grocka,grocka,grocka,2018/119
banatska,,grocka,kaluĐerica,kaludjerica,2018/119
banatska,,grocka,ritopek,ritopek,
banatska,,grocka,zaklopaČa,zaklopaČa,
banatska,,palilula,borČa,borČa,
banatska,,zemun,beograd,bg-zemun,
banatski pogled,,grocka,ritopek,ritopek,
banijska,,grocka,vinČa,vinČa,
banijska,,lazarevac,stepojevac,stepojevac,
banijska,,palilula,borČa,borČa,
banijska,,sopot,ralja,ralja,
banijska,,surČin,surČin,surČin,
banijska,,zemun,beograd,bg-zemun,
banjaluČka ulica,,mladenovac,meĐuluŽje,meĐuluŽje,
banjaluČka,,lazarevac,lazarevac,lazarevac,
banjaluČka,,obrenovac,broviĆ,broviĆ,
banjaluČka,,voŽdovac,beograd,beograd,
banjica,,mladenovac,rajkovac,rajkovac,
banjiČka,,barajevo,arnajevo,arnajevo,
banjiČka,,lazarevac,lazarevac,lazarevac,
banjiČka,,mladenovac,pruŽatovac,pruŽatovac,
banjiČka,,zemun,beograd,bg-zemun,
